Time,DeviceAddress,GatewayNode,FrequencyHz,SF,BW,RSSI,SNR,Distance,Jammer
1189.97,6c0007e2,201,868.1,10,125000,-131.795,-14.7639,4706.9,0
1208.09,6c0007a1,202,868.3,7,125000,-115.311,1.72039,1715.23,0
1216.61,6c00080f,202,868.1,8,125000,-124.903,-7.87259,3086.42,0
1223.3,6c0007fa,203,868.3,11,125000,-133.572,-16.5408,5247.96,0
1248.67,6c000773,203,868.5,9,125000,-127.846,-10.8151,3695.83,0
1271.48,6c0007f9,200,868.5,7,125000,-108.752,8.27876,1147.88,0
1271.48,6c0007f9,203,868.5,7,125000,-119.7,-2.66954,2244.27,0
1274.93,6c0007e6,202,868.5,12,125000,-135.086,-18.0551,5757.93,0
1311.5,6c00075a,203,868.5,9,125000,-127.95,-10.9195,3719.53,0
1333.49,6c00075c,202,868.3,7,125000,-119.272,-2.24155,2186.22,0
1336.66,6c000782,200,868.1,11,125000,-133.934,-16.9027,5365.57,0
1342.38,6c0007ce,203,868.3,7,125000,-115.835,1.19601,1771.2,0
1348.49,6c00077a,200,868.1,12,125000,-135.645,-18.614,5958.4,0
1361.96,6c0007ba,202,868.3,8,125000,-126.641,-9.61017,3432.94,0
1417.86,6c00078e,200,868.1,7,125000,-91.7944,25.2365,406.343,0
1417.86,6c00078e,203,868.1,7,125000,-123.498,-6.46686,2831.84,0
1430.62,6c000778,200,868.1,12,125000,-135.41,-18.3791,5873.32,0
1472.63,6c0007d4,203,868.1,7,125000,-119.985,-2.95458,2283.79,0
1489.28,6c000783,201,868.5,7,125000,-118.467,-1.436,2080.98,0
1520.84,6c0007ae,201,868.1,10,125000,-130.255,-13.2243,4283.37,0
1536.8,6c0007a2,203,868.5,7,125000,-109.635,7.39567,1211.67,0
1553.87,6c0007a6,201,868.5,9,125000,-128.822,-11.7915,3923.55,0
1560.3,6c0007b4,201,868.1,7,125000,-112.04,4.99086,1403.92,0
1567.52,6c000767,202,868.5,9,125000,-129.12,-12.0895,3995.82,0
1570.47,6c0007cb,202,868.1,7,125000,-118.838,-1.80677,2128.77,0
1571.96,6c0007d1,200,868.3,12,125000,-136.148,-19.1176,6145.02,0
1583.93,6c00076d,201,868.1,7,125000,-95.2058,21.8251,500.751,0
1607.36,6c0007c7,202,868.3,7,125000,-121.402,-4.37078,2490.7,0
